date_,adj close_escorts.ns,close_escorts.ns,high_escorts.ns,low_escorts.ns,open_escorts.ns,volume_escorts.ns
2024-10-14,3931.442626953125,3965.699951171875,4000.0,3894.35009765625,3954.550048828125,190540
2024-10-15,3898.033935546875,3932.0,4014.85009765625,3881.60009765625,3990.199951171875,151439
2024-10-16,3845.144775390625,3878.64990234375,3956.25,3860.050048828125,3925.39990234375,97347
2024-10-17,3756.269287109375,3789.0,3878.64990234375,3762.050048828125,3878.64990234375,164414
2024-10-18,3782.441162109375,3815.39990234375,3835.25,3701.0,3767.0,194550
2024-10-21,3711.06298828125,3743.39990234375,3825.85009765625,3733.949951171875,3815.39990234375,104074
2024-10-22,3639.982421875,3671.699951171875,3774.85009765625,3660.0,3741.0,215907
2024-10-23,3669.2275390625,3701.199951171875,3741.949951171875,3645.550048828125,3660.050048828125,202600
2024-10-24,3464.36279296875,3494.550048828125,3595.0,3346.0,3595.0,1595629
2024-10-25,3470.162109375,3500.39990234375,3554.0,3466.050048828125,3489.0,381990
2024-10-28,3475.862548828125,3506.14990234375,3539.449951171875,3454.5,3500.0,192702
2024-10-29,3510.9072265625,3541.5,3679.5,3506.14990234375,3520.0,600974
2024-10-30,3602.3603515625,3633.75,3700.0,3528.300048828125,3547.0,421680
2024-10-31,3712.748291015625,3745.10009765625,3777.0,3610.199951171875,3629.949951171875,350879
2024-11-01,3763.307861328125,3796.10009765625,3825.0,3656.64990234375,3800.0,75148
2024-11-04,3706.80029296875,3739.10009765625,3796.0,3674.550048828125,3796.0,208225
2024-11-05,3674.035888671875,3706.050048828125,3771.89990234375,3653.10009765625,3750.550048828125,162180
2024-11-06,3718.993896484375,3751.39990234375,3774.199951171875,3686.199951171875,3715.949951171875,118432
2024-11-07,3612.174560546875,3643.64990234375,3762.949951171875,3600.0,3751.39990234375,612930
2024-11-08,3604.09521484375,3635.5,3689.800048828125,3561.0,3680.0,233793
2024-11-11,3589.621337890625,3620.89990234375,3667.800048828125,3596.10009765625,3613.60009765625,117048
2024-11-12,3528.701904296875,3559.449951171875,3703.949951171875,3535.0,3635.0,158647
2024-11-13,3465.056884765625,3495.25,3571.89990234375,3480.0,3564.0,111810
2024-11-14,3472.987548828125,3503.25,3570.0,3474.64990234375,3490.14990234375,86134
2024-11-18,3411.622314453125,3441.35009765625,3537.89990234375,3435.0,3509.949951171875,65265
2024-11-19,3463.966064453125,3494.14990234375,3533.449951171875,3440.0,3440.0,99096
2024-11-21,3424.559326171875,3454.39990234375,3489.75,3404.5,3485.0,121919
2024-11-22,3480.07568359375,3510.39990234375,3527.300048828125,3448.89990234375,3459.0,153988
2024-11-25,3584.267822265625,3615.5,3663.14990234375,3560.0,3561.0,155411
2024-11-26,3587.390625,3618.64990234375,3634.0,3592.050048828125,3615.5,176185
2024-11-27,3569.546142578125,3600.64990234375,3634.449951171875,3582.300048828125,3605.0,126271
2024-11-28,3483.000244140625,3513.35009765625,3615.10009765625,3492.39990234375,3603.050048828125,154716
2024-11-29,3523.199951171875,3553.89990234375,3568.550048828125,3515.0,3517.10009765625,59622
2024-12-02,3497.375244140625,3527.85009765625,3560.0,3430.60009765625,3534.050048828125,158680
2024-12-03,3486.66845703125,3517.050048828125,3561.35009765625,3506.050048828125,3539.949951171875,156421
2024-12-04,3421.436767578125,3451.25,3539.949951171875,3436.64990234375,3520.0,176179
2024-12-05,3408.301025390625,3438.0,3484.75,3380.35009765625,3456.0,209537
2024-12-06,3494.351318359375,3524.800048828125,3534.89990234375,3440.0,3440.0,264216
2024-12-09,3515.7646484375,3546.39990234375,3580.0,3521.550048828125,3531.0,133373
2024-12-10,3481.76123046875,3512.10009765625,3564.14990234375,3501.199951171875,3531.0,97820
2024-12-11,3464.2138671875,3494.39990234375,3546.699951171875,3485.5,3505.0,108820
2024-12-12,3408.747314453125,3438.449951171875,3508.0,3433.35009765625,3494.39990234375,87396
2024-12-13,3410.333740234375,3440.050048828125,3451.85009765625,3382.0,3425.0,137213
2024-12-16,3402.74951171875,3432.39990234375,3459.64990234375,3400.0,3457.89990234375,155304
2024-12-17,3315.361083984375,3344.25,3470.0,3322.0,3429.550048828125,345254
2024-12-18,3331.81787109375,3360.85009765625,3375.10009765625,3297.25,3332.0,131235
2024-12-19,3255.5322265625,3283.89990234375,3350.0,3276.39990234375,3350.0,138774
2024-12-20,3134.735107421875,3162.050048828125,3302.800048828125,3149.949951171875,3279.89990234375,261515
2024-12-23,3116.4443359375,3143.60009765625,3224.64990234375,3133.0,3180.75,188314
2024-12-24,3128.8857421875,3156.14990234375,3185.449951171875,3102.0,3147.199951171875,138673
2024-12-26,3123.8798828125,3151.10009765625,3177.25,3112.0,3156.14990234375,128388
2024-12-27,3230.25244140625,3258.39990234375,3336.800048828125,3161.550048828125,3161.550048828125,1362013
2024-12-30,3237.935546875,3266.14990234375,3325.0,3246.10009765625,3259.10009765625,267368
2024-12-31,3303.761962890625,3332.550048828125,3348.75,3250.0,3260.0,195012
2025-01-01,3270.947998046875,3299.449951171875,3329.050048828125,3222.60009765625,3329.050048828125,374951
2025-01-02,3323.09375,3352.050048828125,3366.0,3296.0,3324.0,260903
2025-01-03,3342.77197265625,3371.89990234375,3409.0,3339.0,3350.0,429505
2025-01-06,3307.0830078125,3335.89990234375,3381.14990234375,3310.0,3381.14990234375,141279
2025-01-07,3309.115478515625,3337.949951171875,3368.949951171875,3321.25,3330.0,73195
2025-01-08,3311.693115234375,3340.550048828125,3363.0,3263.14990234375,3335.0,109521
2025-01-09,3360.3193359375,3389.60009765625,3422.0,3316.699951171875,3364.0,241518
2025-01-10,3376.478271484375,3405.89990234375,3431.85009765625,3327.699951171875,3396.0,243845
2025-01-13,3269.609619140625,3298.10009765625,3397.89990234375,3272.35009765625,3384.5,163058
2025-01-14,3409.292724609375,3439.0,3459.449951171875,3295.75,3302.199951171875,261047
2025-01-15,3448.69921875,3478.75,3500.0,3436.10009765625,3465.0,274614
2025-01-16,3523.547119140625,3554.25,3591.800048828125,3471.60009765625,3500.0,259736
2025-01-17,3569.595703125,3600.699951171875,3617.39990234375,3536.0,3554.25,178487
2025-01-20,3544.51416015625,3575.39990234375,3624.949951171875,3541.550048828125,3615.75,105561
2025-01-21,3542.779296875,3573.64990234375,3611.5,3531.949951171875,3579.25,221433
2025-01-22,3539.904296875,3570.75,3613.39990234375,3549.39990234375,3585.25,142630
2025-01-23,3557.40185546875,3588.39990234375,3628.949951171875,3525.550048828125,3549.699951171875,184128
2025-01-24,3436.35693359375,3466.300048828125,3610.60009765625,3460.0,3581.199951171875,71203
2025-01-27,3338.11279296875,3367.199951171875,3443.949951171875,3338.14990234375,3435.0,89489
2025-01-28,3453.50732421875,3483.60009765625,3515.0,3361.5,3370.0,155973
2025-01-29,3503.42236328125,3533.949951171875,3541.949951171875,3474.89990234375,3485.0,70231
2025-01-30,3559.929931640625,3590.949951171875,3603.85009765625,3506.75,3545.0,137480
2025-01-31,3592.149169921875,3623.449951171875,3656.0,3566.050048828125,3600.0,165511
2025-02-01,3420.34619140625,3450.14990234375,3676.5,3435.14990234375,3630.0,473087
2025-02-03,3299.895751953125,3328.64990234375,3437.10009765625,3305.0,3432.949951171875,269358
2025-02-04,3272.3359375,3300.85009765625,3380.75,3286.199951171875,3344.0,167952
2025-02-05,3297.318359375,3326.050048828125,3385.0,3310.0,3310.0,147784
2025-02-06,3247.105712890625,3275.39990234375,3354.60009765625,3250.0,3332.89990234375,73180
2025-02-07,3241.454833984375,3269.699951171875,3324.300048828125,3239.0,3283.0,150501
2025-02-10,3274.566650390625,3303.10009765625,3349.0,3270.0,3303.0,291371
2025-02-11,3102.66455078125,3129.699951171875,3244.0,3098.550048828125,3200.0,826805
2025-02-12,2996.88623046875,3023.0,3161.0,3007.550048828125,3145.10009765625,469457
2025-02-13,2996.24169921875,3022.35009765625,3054.89990234375,2965.0,3027.89990234375,245178
2025-02-14,2932.882080078125,2948.64990234375,3064.449951171875,2914.0,3027.0,76926
2025-02-17,2956.256591796875,2972.14990234375,3005.0,2891.5,2948.0,98538
2025-02-18,2979.73046875,2995.75,3001.85009765625,2942.050048828125,2951.0,203820
2025-02-19,3003.950439453125,3020.10009765625,3045.050048828125,2964.10009765625,2985.300048828125,58641
2025-02-20,3094.065673828125,3110.699951171875,3123.949951171875,2999.39990234375,3020.0,101632
2025-02-21,3050.20166015625,3066.60009765625,3131.39990234375,3055.0,3124.0,90230
2025-02-24,2930.19677734375,2945.949951171875,3068.85009765625,2942.0,3050.0,253894
2025-02-25,2926.11865234375,2941.85009765625,2990.5,2932.64990234375,2950.300048828125,176061
2025-02-27,2908.761962890625,2924.39990234375,2950.89990234375,2901.0,2923.35009765625,163947
2025-02-28,2853.6083984375,2868.949951171875,2999.89990234375,2825.199951171875,2900.0,136763
2025-03-03,2931.638916015625,2947.39990234375,2957.949951171875,2865.14990234375,2909.949951171875,121804
2025-03-04,2943.57470703125,2959.39990234375,2964.800048828125,2881.25,2940.0,54994
2025-03-05,3016.8310546875,3033.050048828125,3038.699951171875,2959.39990234375,2979.89990234375,75557
2025-03-06,3065.569091796875,3082.050048828125,3090.0,3000.0,3040.0,176488
2025-03-07,2994.99853515625,3011.10009765625,3099.0,3002.199951171875,3082.050048828125,107291
2025-03-10,2916.07275390625,2931.75,3031.0,2922.300048828125,3010.14990234375,231262
2025-03-11,2874.744873046875,2890.199951171875,2931.75,2851.0,2921.0,391673
2025-03-12,2907.6181640625,2923.25,2991.550048828125,2890.199951171875,2901.0,186542
2025-03-13,2892.947021484375,2908.5,2964.60009765625,2898.300048828125,2947.0,81455
