date_,adj close_crompton.ns,close_crompton.ns,high_crompton.ns,low_crompton.ns,open_crompton.ns,volume_crompton.ns
2024-11-27,405.3416442871094,408.95001220703125,410.29998779296875,402.6499938964844,406.3500061035156,2053834
2024-11-28,403.0619201660156,406.6499938964844,411.70001220703125,405.0,410.0,1903894
2024-11-29,406.08502197265625,409.70001220703125,410.79998779296875,402.04998779296875,406.6000061035156,909279
2024-12-02,413.17193603515625,416.8500061035156,419.45001220703125,409.6499938964844,410.0,1336422
2024-12-03,405.53985595703125,409.1499938964844,416.0,404.29998779296875,416.0,3161729
2024-12-04,404.94512939453125,408.54998779296875,411.5,407.04998779296875,408.79998779296875,1748914
2024-12-05,401.6247253417969,405.20001220703125,409.25,401.45001220703125,408.5,1874921
2024-12-06,402.61590576171875,406.20001220703125,408.6499938964844,401.95001220703125,406.1499938964844,910458
2024-12-09,410.4461975097656,414.1000061035156,418.0,405.70001220703125,406.5,1575373
2024-12-10,412.0320739746094,415.70001220703125,417.20001220703125,412.45001220703125,415.6000061035156,1495263
2024-12-11,409.9505920410156,413.6000061035156,417.0,412.3500061035156,417.0,641463
2024-12-12,402.51678466796875,406.1000061035156,417.0,405.5,415.1499938964844,611815
2024-12-13,407.7699890136719,411.3999938964844,412.1499938964844,402.70001220703125,405.5,2084397
2024-12-16,403.0619201660156,406.6499938964844,413.8999938964844,405.6499938964844,410.0,1300222
2024-12-17,394.0917663574219,397.6000061035156,406.1000061035156,396.0,405.79998779296875,1231648
2024-12-18,392.7041320800781,396.20001220703125,398.1000061035156,391.95001220703125,393.1499938964844,1747136
2024-12-19,391.96075439453125,395.45001220703125,397.20001220703125,388.0,388.0,1354246
2024-12-20,384.82427978515625,388.25,397.5,386.6000061035156,395.0,1090659
2024-12-23,387.1039733886719,390.54998779296875,394.8999938964844,383.8999938964844,389.0,669388
2024-12-24,391.36602783203125,394.8500061035156,396.45001220703125,385.8999938964844,388.54998779296875,753500
2024-12-26,390.1270751953125,393.6000061035156,398.0,390.0,394.8500061035156,477431
2024-12-27,392.8528137207031,396.3500061035156,399.8500061035156,394.20001220703125,395.0,532267
2024-12-30,391.0191345214844,394.5,401.95001220703125,391.3500061035156,396.3500061035156,2066494
2024-12-31,392.3076477050781,395.79998779296875,399.20001220703125,392.1499938964844,392.1499938964844,850534
2025-01-01,371.988525390625,375.29998779296875,395.8500061035156,374.0,395.3500061035156,3413601
2025-01-02,368.7672119140625,372.04998779296875,376.8999938964844,369.6000061035156,374.04998779296875,1885894
2025-01-03,363.51397705078125,366.75,373.5,364.70001220703125,372.1000061035156,3973482
2025-01-06,367.67694091796875,370.95001220703125,382.45001220703125,369.25,372.1000061035156,5495026
2025-01-07,365.198974609375,368.45001220703125,372.54998779296875,364.45001220703125,370.95001220703125,1324219
2025-01-08,366.2397155761719,369.5,375.3500061035156,366.0,370.0,1425353
2025-01-09,366.93353271484375,370.20001220703125,371.1000061035156,366.29998779296875,369.5,1415293
2025-01-10,356.57574462890625,359.75,369.95001220703125,359.0,367.1000061035156,1129682
2025-01-13,350.3808898925781,353.5,356.6499938964844,348.25,355.0,2441696
2025-01-14,354.0482482910156,357.20001220703125,359.54998779296875,350.54998779296875,351.0,2406473
2025-01-15,361.6307373046875,364.8500061035156,366.5,355.0,360.75,1287013
2025-01-16,357.5669250488281,360.75,366.8500061035156,359.1499938964844,364.8500061035156,1164981
2025-01-17,359.1528015136719,362.3500061035156,367.3999938964844,358.1000061035156,362.54998779296875,1186492
2025-01-20,359.1032409667969,362.29998779296875,364.70001220703125,355.79998779296875,362.3500061035156,775850
2025-01-21,350.0339660644531,353.1499938964844,363.0,351.6000061035156,361.04998779296875,1091060
