date_,adj close_abbotindia.ns,close_abbotindia.ns,high_abbotindia.ns,low_abbotindia.ns,open_abbotindia.ns,volume_abbotindia.ns
2025-01-31,25813.77734375,26173.30078125,26342.94921875,25937.5,25937.5,6906
2025-02-01,25536.439453125,25892.099609375,26324.94921875,25743.0,26249.94921875,19350
2025-02-03,25620.765625,25977.599609375,26051.94921875,25760.05078125,25892.099609375,8122
2025-02-04,25764.46484375,26123.30078125,26298.900390625,25952.05078125,25999.900390625,9729
2025-02-05,27420.203125,27802.099609375,27915.0,26026.05078125,26300.0,48840
2025-02-06,28681.634765625,29081.099609375,29439.94921875,27926.94921875,27998.80078125,93624
2025-02-07,29390.265625,29799.599609375,29861.900390625,28979.94921875,28980.0,32928
2025-02-10,29275.662109375,29683.400390625,29850.0,29106.0,29106.0,11735
2025-02-11,28728.779296875,29128.900390625,29700.0,29019.05078125,29683.400390625,8385
2025-02-12,28384.669921875,28780.0,29300.94921875,28251.0,28990.0,12096
2025-02-13,27969.50390625,28359.05078125,29338.69921875,28272.349609375,28500.05078125,8028
2025-02-14,27457.3359375,27839.75,28652.69921875,27580.849609375,28500.80078125,15905
2025-02-17,28177.0625,28569.5,28649.94921875,27549.900390625,27921.849609375,13719
2025-02-18,28922.677734375,29325.5,29484.099609375,28300.0,28300.0,24856
2025-02-19,29312.892578125,29721.150390625,29823.94921875,28649.19921875,28660.0,21240
2025-02-20,29025.396484375,29429.650390625,29806.650390625,29333.94921875,29500.0,5736
2025-02-21,28544.39453125,28941.94921875,29576.75,28725.0,29429.650390625,18419
2025-02-24,29403.974609375,29813.5,29850.0,28538.5,28750.0,35520
2025-02-25,29780.7265625,30195.5,30571.150390625,29500.05078125,29500.05078125,43438
2025-02-27,29552.16015625,29963.75,30444.0,29400.0,30000.0,33985
2025-02-28,29978.12890625,30395.650390625,30650.0,29115.0,29600.0,17580
2025-03-03,30755.205078125,31183.55078125,31567.0,29726.25,30610.19921875,30976
2025-03-04,31106.66015625,31539.900390625,31750.0,30572.599609375,31351.0,25847
2025-03-05,31016.12109375,31448.099609375,31898.94921875,30854.44921875,31539.900390625,20717
2025-03-06,30557.55859375,30983.150390625,31573.25,30659.30078125,31500.0,15991
