date_,adj close_ofss.ns,close_ofss.ns,high_ofss.ns,low_ofss.ns,open_ofss.ns,volume_ofss.ns
2025-01-14,10254.298828125,10747.099609375,11007.0498046875,10584.099609375,10909.9501953125,147770
2025-01-15,10066.5703125,10550.349609375,10828.900390625,10445.599609375,10750.0,186595
2025-01-16,9722.6005859375,10189.849609375,10954.5498046875,9880.0,10000.0,929106
2025-01-17,9567.361328125,10027.150390625,10262.9501953125,9975.0,10064.5498046875,191124
2025-01-20,9558.154296875,10017.5,10074.0498046875,9745.0,9999.0498046875,227279
2025-01-21,9318.091796875,9765.900390625,10265.0,9728.2998046875,10017.5,155630
2025-01-22,9153.310546875,9593.2001953125,10034.9501953125,9480.0,9895.9501953125,268514
2025-01-23,9595.5576171875,10056.7001953125,10230.0,9650.0498046875,9670.0,320690
2025-01-24,9356.0185546875,9805.650390625,10125.5,9766.4501953125,10058.5,112936
2025-01-27,8872.6005859375,9299.0,9790.0,9261.7001953125,9705.0,194147
2025-01-28,8822.5078125,9246.5,9372.0,8941.0,9235.0,231027
2025-01-29,9099.2099609375,9536.5,9625.0,9300.900390625,9300.900390625,182919
2025-01-30,8582.158203125,8994.599609375,9611.5,8960.0,9536.0498046875,278975
2025-01-31,8703.763671875,9122.0498046875,9288.0,9019.849609375,9059.0498046875,155215
2025-02-01,8485.4560546875,8893.25,9181.25,8209.849609375,9100.0,134594
2025-02-03,8786.3447265625,9208.599609375,9241.0,8630.099609375,8838.099609375,146156
2025-02-04,8800.658203125,9223.599609375,9370.0,9056.5,9220.900390625,108194
2025-02-05,8885.1484375,9312.150390625,9448.150390625,9245.0,9245.0,117659
2025-02-06,8848.4130859375,9273.650390625,9476.400390625,9231.5,9384.7998046875,102307
2025-02-07,9019.2529296875,9452.7001953125,9514.900390625,9222.599609375,9333.9501953125,111132
2025-02-10,8862.2958984375,9288.2001953125,9471.7001953125,9242.0,9430.099609375,77774
2025-02-11,8716.12109375,9135.0,9339.25,9022.7998046875,9250.0,79790
2025-02-12,8629.5791015625,9044.2998046875,9174.0,8901.0,9174.0,106087
2025-02-13,8589.83984375,9002.650390625,9194.5,8919.0,9000.0,61745
