date_,adj close_pcbl.ns,close_pcbl.ns,high_pcbl.ns,low_pcbl.ns,open_pcbl.ns,volume_pcbl.ns
2024-11-13,373.0938415527344,385.1499938964844,405.8999938964844,383.0,399.04998779296875,2679055
2024-11-14,380.64971923828125,392.95001220703125,402.8500061035156,385.0,385.0,1579226
2024-11-18,374.159423828125,386.25,397.79998779296875,384.45001220703125,393.95001220703125,973005
2024-11-19,377.79205322265625,390.0,404.8500061035156,386.5,386.5,1287062
2024-11-21,372.51263427734375,384.54998779296875,394.70001220703125,381.54998779296875,392.5,1084448
2024-11-22,381.0856018066406,393.3999938964844,397.45001220703125,384.04998779296875,388.6499938964844,1145855
2024-11-25,382.0542907714844,394.3999938964844,409.79998779296875,391.3500061035156,405.0,1452676
2024-11-26,398.4737548828125,411.3500061035156,415.0,393.04998779296875,395.0,1978677
2024-11-27,417.2664794921875,430.75,436.5,411.8500061035156,414.0,4481647
2024-11-28,417.8476867675781,431.3500061035156,450.0,426.5,438.5,3779944
2024-11-29,420.26947021484375,433.8500061035156,439.45001220703125,428.04998779296875,438.3999938964844,2265645
2024-12-02,422.4974365234375,436.1499938964844,438.45001220703125,428.1000061035156,433.6000061035156,1169461
2024-12-03,426.905029296875,440.70001220703125,447.54998779296875,434.20001220703125,437.6000061035156,1953359
2024-12-04,431.9906921386719,445.95001220703125,452.04998779296875,438.1499938964844,442.0,1869992
2024-12-05,453.7379455566406,468.3999938964844,473.3999938964844,445.0,448.1000061035156,4477841
2024-12-06,455.0456848144531,469.75,477.0,466.1000061035156,471.8500061035156,2046790
2024-12-09,464.0061340332031,479.0,483.70001220703125,462.79998779296875,470.54998779296875,3340485
2024-12-10,468.3652648925781,483.5,485.0,474.95001220703125,480.0,2458227
2024-12-11,472.4338073730469,487.70001220703125,494.8999938964844,480.3500061035156,484.79998779296875,2579351
2024-12-12,454.9972839355469,469.70001220703125,489.20001220703125,468.3999938964844,488.79998779296875,2095964
2024-12-13,455.9659729003906,470.70001220703125,472.79998779296875,453.25,466.0,2024222
2024-12-16,472.9665832519531,488.25,490.0,470.0,473.1499938964844,3130936
2024-12-17,474.1290283203125,489.45001220703125,498.3999938964844,479.1000061035156,488.25,3054509
2024-12-18,468.6074523925781,483.75,496.0,481.3999938964844,489.20001220703125,2147379
2024-12-19,463.27960205078125,478.25,486.1499938964844,468.0,474.0,2084797
2024-12-20,450.1053161621094,464.6499938964844,492.8999938964844,461.25,480.70001220703125,2920608
2024-12-23,444.825927734375,459.20001220703125,479.79998779296875,452.6499938964844,469.0,2659600
2024-12-24,443.1307373046875,457.45001220703125,465.79998779296875,454.0,463.79998779296875,1439454
