date_,adj close_pghh.ns,close_pghh.ns,high_pghh.ns,low_pghh.ns,open_pghh.ns,volume_pghh.ns
2024-12-04,15618.6123046875,15820.650390625,15911.7998046875,15758.0,15853.7001953125,5908
2024-12-05,15599.7060546875,15801.5,15920.650390625,15750.9501953125,15920.650390625,8557
2024-12-06,15672.0693359375,15874.7998046875,15928.0,15751.0,15801.5,13919
2024-12-09,15643.884765625,15846.25,15954.5498046875,15725.2001953125,15874.7001953125,6142
2024-12-10,15553.404296875,15754.599609375,15865.349609375,15726.0,15846.25,3176
2024-12-11,15666.7880859375,15869.4501953125,15896.150390625,15730.099609375,15796.400390625,3681
2024-12-12,15599.1630859375,15800.9501953125,16190.0,15616.75,15836.4501953125,8441
2024-12-13,15533.1171875,15734.0498046875,15883.0498046875,15565.5498046875,15800.9501953125,6022
2024-12-16,15565.3994140625,15766.75,15809.849609375,15610.0498046875,15794.0498046875,6342
2024-12-17,15484.990234375,15685.2998046875,15765.650390625,15620.0,15700.0,1879
2024-12-18,15295.984375,15493.849609375,15693.0,15346.0,15626.0,3332
2024-12-19,15170.953125,15367.2001953125,15477.099609375,15282.849609375,15477.099609375,2104
2024-12-20,14921.7265625,15114.75,15471.9501953125,15001.0,15380.0,2714
2024-12-23,14700.7841796875,14890.9501953125,15254.400390625,14792.7001953125,15114.75,4749
2024-12-24,14566.3740234375,14754.7998046875,14972.599609375,14710.0,14861.150390625,3228
2024-12-26,14587.7958984375,14776.5,14954.7998046875,14629.7998046875,14754.849609375,2636
2024-12-27,14381.662109375,14567.7001953125,14891.9501953125,14410.0,14799.0,4345
2024-12-30,14793.0419921875,14984.400390625,15597.75,14499.4501953125,14567.7001953125,5320
2024-12-31,14526.0947265625,14714.0,15161.2998046875,14425.9501953125,14990.0,7719
2025-01-01,14468.0947265625,14655.25,14789.349609375,14464.150390625,14707.0,3391
2025-01-02,14384.3291015625,14570.400390625,14699.9501953125,14510.0,14662.0,6234
2025-01-03,14496.4775390625,14684.0,14735.849609375,14560.099609375,14590.0,3852
2025-01-06,14466.1201171875,14653.25,14831.9501953125,14471.0498046875,14684.0,4065
2025-01-07,14307.2255859375,14492.2998046875,14730.0,14405.5498046875,14730.0,5482
2025-01-08,14456.98828125,14644.0,14789.9501953125,14420.0498046875,14625.0,5296
2025-01-09,14609.76171875,14798.75,14964.099609375,14650.0,14728.0,2474
2025-01-10,14575.208984375,14763.75,14848.0,14577.9501953125,14800.0,2319
2025-01-13,14518.8876953125,14706.7001953125,14745.0,14600.0,14711.25,2291
2025-01-14,14486.951171875,14674.349609375,14706.7001953125,14493.5,14706.7001953125,3391
2025-01-15,14418.0419921875,14604.5498046875,14717.0,14511.2001953125,14717.0,18578
2025-01-16,14522.392578125,14710.25,14738.5,14508.0,14550.0,2673
2025-01-17,14565.3369140625,14753.75,14877.4501953125,14578.599609375,14710.25,2241
2025-01-20,14640.3662109375,14829.75,14950.0,14713.2998046875,14950.0,1320
2025-01-21,14650.7314453125,14840.25,14903.900390625,14740.599609375,14903.849609375,1436
