date_,adj close_pageind.ns,close_pageind.ns,high_pageind.ns,low_pageind.ns,open_pageind.ns,volume_pageind.ns
2024-11-28,44177.5234375,44815.94921875,45453.44921875,44650.30078125,45010.0,24610
2024-11-29,44008.91015625,44644.8984375,45300.0,44483.94921875,44649.0,42304
2024-12-02,45211.58203125,45864.94921875,46431.25,44600.05078125,44750.0,65013
2024-12-03,45485.91796875,46143.25,46492.30078125,45065.25,46100.0,73602
2024-12-04,45279.01171875,45933.3515625,46440.0,45565.0,46302.5,49127
2024-12-05,45291.52734375,45946.05078125,46799.94921875,45762.3515625,45933.30078125,63726
2024-12-06,45449.9375,46106.75,46599.94921875,45915.0,46100.0,26817
2024-12-09,45463.984375,46121.0,46485.94921875,45899.8984375,46240.0,35904
2024-12-10,46137.5,46804.25,47011.75,45915.0,46377.5,54641
2024-12-11,46389.5078125,47059.8984375,47279.94921875,46652.69921875,46850.0,29440
2024-12-12,46748.76953125,47424.3515625,47576.6015625,46850.0,46918.19921875,47214
2024-12-13,48047.890625,48742.25,48811.80078125,47313.30078125,47450.0,42994
2024-12-16,48535.49609375,49236.8984375,49400.0,48575.05078125,48745.0,41627
2024-12-17,48511.79296875,49212.8515625,49849.94921875,49071.6015625,49071.6015625,53695
2024-12-18,48406.41015625,49105.94921875,49381.8515625,48549.69921875,49150.6015625,39776
2024-12-19,48472.55859375,49173.05078125,49464.0,48726.05078125,49000.0,36876
2024-12-20,48160.37109375,48856.3515625,49600.0,48620.0,49200.0,32345
2024-12-23,47917.82421875,48610.30078125,49150.0,48365.0,48855.55078125,14370
2024-12-24,48165.0,48861.05078125,49064.8984375,48650.0,48890.8984375,7524
2024-12-26,46412.625,47083.3515625,48974.94921875,46850.0,48861.05078125,21533
2024-12-27,46264.9609375,46933.55078125,47443.8984375,46490.1015625,47359.8984375,23819
2024-12-30,46335.6875,47005.30078125,47699.94921875,46493.1484375,47220.0,48343
2024-12-31,46837.53515625,47514.3984375,47856.6484375,46750.0,46750.30078125,37902
2025-01-01,47107.53515625,47788.30078125,47900.0,47066.3515625,47514.3984375,9446
2025-01-02,47462.65234375,48148.55078125,48267.1015625,47444.75,47788.30078125,13143
2025-01-03,47258.25390625,47941.19921875,48594.94921875,47766.0,48450.0,18525
2025-01-06,47316.11328125,47999.8984375,48197.94921875,47586.0,47941.25,34830
2025-01-07,48118.2734375,48813.6484375,49254.69921875,47956.0,47956.0,43413
2025-01-08,47378.61328125,48063.30078125,48776.8984375,47111.05078125,48667.0,39288
2025-01-09,46867.40234375,47544.69921875,48063.30078125,47145.05078125,48063.30078125,10595
2025-01-10,46079.63671875,46745.55078125,47899.94921875,46525.0,47499.94921875,12810
2025-01-13,45257.56640625,45911.6015625,46729.3515625,45579.3515625,46600.0,27472
2025-01-14,45809.48828125,46471.5,46650.94921875,45966.05078125,46000.0,13713
2025-01-15,45381.37890625,46037.19921875,47237.3515625,45255.1015625,46508.25,25116
2025-01-16,45287.23828125,45941.69921875,46453.25,45337.19921875,46061.0,104583
2025-01-17,45440.87109375,46097.55078125,46399.3984375,45069.5,45950.0,22562
2025-01-20,45679.71875,46339.8515625,46673.8984375,45360.0,46100.0,15580
2025-01-21,45320.90625,45975.8515625,46933.6484375,45866.3515625,46339.8515625,26933
2025-01-22,45417.01171875,46073.3515625,46671.3515625,45700.0,46280.0,42794
2025-01-23,46102.5078125,46768.75,46913.8984375,45794.1015625,46165.6015625,29451
2025-01-24,45734.32421875,46395.25,47149.55078125,46256.3515625,46554.0,13011
2025-01-27,43944.34375,44579.3984375,46320.0,44335.0,46320.0,17917
2025-01-28,44047.015625,44683.55078125,44930.0,44200.1484375,44509.0,20045
2025-01-29,44546.59375,45190.3515625,46098.94921875,44583.0,44600.0,32215
2025-01-30,43672.32421875,44303.44921875,45205.3984375,43600.0,45190.3515625,37596
2025-01-31,44086.44140625,44723.55078125,45190.19921875,44289.94921875,44300.0,27976
2025-02-01,45909.30078125,46572.75,47168.8984375,43605.0,44775.0,48216
2025-02-03,46605.2421875,47278.75,47493.5,45409.5,46542.8515625,23382
2025-02-04,46239.03515625,46907.25,47191.3984375,45677.75,46951.0,30223
2025-02-05,45142.7734375,45795.1484375,48400.0,45468.5,47179.0,96888
2025-02-06,43364.51953125,43991.19921875,45430.0,43511.8515625,45430.0,120947
2025-02-07,42370.73828125,42983.05078125,44375.0,42700.0,44350.0,42482
2025-02-10,43032.8671875,43654.75,43941.1484375,42801.94921875,42983.05078125,47495
2025-02-11,41514.90234375,42114.8515625,43577.0,41850.0,43510.0,27311
2025-02-12,42099.703125,42708.1015625,43390.30078125,41615.0,42300.0,23195
2025-02-13,41232.296875,41681.25,42686.5,41450.1015625,42686.5,36838
2025-02-14,40626.0,41068.3515625,41775.0,40600.0,41711.0,19326
2025-02-17,40480.625,40921.3984375,41289.8984375,40301.6015625,40800.0,14820
2025-02-18,40180.25390625,40617.75,41091.44921875,40067.05078125,40921.3984375,22082
2025-02-19,41083.12109375,41530.44921875,41691.19921875,40126.0,40599.0,21743
2025-02-20,40953.875,41399.80078125,41595.0,40901.25,41300.05078125,34371
2025-02-21,40689.2578125,41132.30078125,42350.0,40893.80078125,41313.05078125,29594
2025-02-24,40719.73046875,41163.1015625,41618.30078125,40715.69921875,40990.0,43411
2025-02-25,41477.92578125,41929.55078125,42087.94921875,41162.0,41449.0,27459
2025-02-27,41419.16015625,41870.1484375,42240.0,41500.0,42240.0,35641
2025-02-28,40079.546875,40515.94921875,41870.1484375,40000.0,41870.05078125,44079
2025-03-03,40127.67578125,40564.6015625,40898.19921875,40159.6015625,40550.0,15472
2025-03-04,39885.51171875,40319.80078125,40649.8984375,39445.0,40290.0,28042
2025-03-05,40600.5703125,41042.6484375,41255.0,40065.1015625,40065.1484375,20278
2025-03-06,40158.09375,40595.3515625,41490.0,40352.0,41490.0,27404
2025-03-07,39635.578125,40067.1484375,40826.0,39992.6484375,40790.0,18542
2025-03-10,39448.9140625,39878.44921875,40388.6484375,39627.6484375,40200.0,13944
2025-03-11,39333.078125,39761.3515625,39846.5,38850.0,39823.0,14828
2025-03-12,39691.2265625,40123.3984375,40294.0,39550.05078125,39750.0,7977
2025-03-13,39667.33203125,40099.25,40299.94921875,39750.0,40243.5,8237
2025-03-17,39926.95703125,40361.69921875,40844.1015625,40020.1015625,40200.0,14375
2025-03-18,39926.95703125,40361.69921875,40361.69921875,40361.69921875,40361.69921875,0
2025-03-19,40808.1171875,41252.44921875,41449.25,40600.0,40600.0,27398
2025-03-20,41484.74609375,41936.44921875,42250.0,41127.0,41500.0,13228
2025-03-21,41674.18359375,42127.94921875,42455.0,41686.6015625,41686.6015625,27509
2025-03-24,42662.47265625,43127.0,43199.0,42212.55078125,42473.0,9173
2025-03-25,42463.24609375,42925.6015625,44300.0,42600.05078125,43126.94921875,24216
2025-03-26,41805.94921875,42261.1484375,43307.80078125,42123.3984375,42930.0,16995
2025-03-27,43418.69140625,43891.44921875,44282.0,41000.0,42215.05078125,31068
2025-03-28,42233.89453125,42693.75,43500.0,42450.0,43500.0,23254
2025-04-01,41553.6484375,42006.1015625,42999.94921875,41926.6484375,42693.75,9974
2025-04-02,42528.53515625,42991.6015625,43197.44921875,41938.6015625,42399.8984375,24953
2025-04-03,43020.72265625,43489.1484375,43638.80078125,42250.0,42250.0,13404
2025-04-04,41854.078125,42309.80078125,43350.0,42027.8515625,43180.0,14177
2025-04-07,40859.55078125,41304.44921875,42244.3984375,40572.19921875,41509.80078125,41820
2025-04-08,41300.69921875,41750.3984375,42655.44921875,41462.55078125,41500.0,18910
2025-04-09,42279.09765625,42739.44921875,42895.0,41266.19921875,41744.5,17873
2025-04-11,44002.28125,44481.3984375,44750.0,42011.1484375,42744.94921875,47063
2025-04-15,44723.0390625,45210.0,45475.0,44550.0,44650.0,38641
2025-04-16,44446.05078125,44930.0,45225.0,44430.0,45210.0,17045
2025-04-17,44371.859375,44855.0,45080.0,44470.0,44925.0,23368
2025-04-21,44980.2421875,45470.0,45945.0,44870.0,44995.0,14544
2025-04-22,44841.74609375,45330.0,45880.0,45195.0,45470.0,18994
2025-04-23,45440.2265625,45935.0,46360.0,45305.0,45375.0,26242
2025-04-24,44530.13671875,45015.0,45970.0,44905.0,45970.0,21522
2025-04-25,44124.5546875,44605.0,45480.0,43900.0,45020.0,18414
2025-04-28,44698.30859375,45185.0,45360.0,44460.0,44525.0,35157
2025-04-29,44515.30078125,45000.0,45445.0,44630.0,45185.0,15266
2025-04-30,45123.67578125,45615.0,45875.0,44800.0,44900.0,36309
2025-05-02,44762.60546875,45250.0,45610.0,45055.0,45610.0,8325
2025-05-05,45410.55078125,45905.0,46175.0,45225.0,45225.0,24637
2025-05-06,45212.7109375,45705.0,46020.0,45500.0,45800.0,7816
2025-05-07,45850.7578125,46350.0,47130.0,45025.0,45025.0,31679
2025-05-08,44673.57421875,45160.0,46470.0,44770.0,46365.0,17341
2025-05-09,44980.2421875,45470.0,45655.0,44535.0,44885.0,13794
2025-05-12,46543.21875,47050.0,47150.0,45820.0,45820.0,14934
2025-05-13,45979.359375,46480.0,47200.0,46370.0,46700.0,11291
2025-05-14,45920.00390625,46420.0,46740.0,45870.0,46550.0,26539
2025-05-15,46434.40234375,46940.0,47365.0,46020.0,46420.0,58580
2025-05-16,47314.81640625,47830.0,48455.0,46585.0,47500.0,45705
2025-05-19,47572.015625,48090.0,48800.0,47850.0,47850.0,20678
2025-05-20,46854.828125,47365.0,48735.0,47270.0,48735.0,26349
